Report fatture;;;;;;;;;;;;;;;;;;;;;
Dati Economici;;;;;;;;;;;;;;;;;;;Dati Fatturazione;;
Codice Pratica;Codice SF;Data Creazione Pratica;Area Territoriale- classificazione FiberCop (Gioia);Regione;Provincia;Comune;Tipologia Infrastruttura;Caratterizzazione;Descrizione Prodotto;Oggetto di Fatturazione;IRU;Quantità;Numerosità;Unità di Misura;Prezzo Unitario;Percentuale;Corrispettivo;Listino di Riferimento;Riferimento Fattura (numero fattura);Data emissione fattura;Periodo di Fatturazione
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;TRATTE DI ADDUZIONE;-;Contributo fattibilita;Fattibilità;20;1;1;N_SDF;41,93;100%;41,93;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;TRATTE DI ADDUZIONE;-;Minitubo;IRU;20;1;1;N_IRU;436,23;100%;436,23;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;TRATTE DI ADDUZIONE;-;RIDUZIONE PER OPERATORE;IRU;20;46,74;1;N_IRU;-0,25;100%;-11,69;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;LOCALI;-;Contributo fattibilita;Fattibilità;20;1;1;N_SDF;268,41;100%;268,41;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;TRATTE DI ADDUZIONE;-;Contributo aggiornamento cartografia;Cartografia;20;1;1;N_CAR;128,82;100%;128,82;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;LOCALI;-;Riduzione per Operatore;IRU;20;303,09;1;N_IRU;-0,25;100%;-75,77;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
103719;SF2500886260/0;07/03/2025;;LOMBARDIA;LC;MERATE;LOCALI;-;Contributo fattibilita;Fattibilità;20;1;1;N_SDF;268,41;100%;268,41;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
103719;SF2500886260/0;07/03/2025;;LOMBARDIA;LC;MERATE;LOCALI;-;Contributo aggiornamento cartografia;Cartografia;20;1;1;N_CAR;389,45;100%;389,45;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
103719;SF2500886260/0;07/03/2025;;LOMBARDIA;LC;MERATE;LOCALI;-;Riduzione per Operatore;IRU;20;585,4;1;N_IRU;-0,25;100%;-146,35;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
103719;SF2500886260/0;07/03/2025;;LOMBARDIA;LC;MERATE;LOCALI;-;2 Minitubo;IRU;20;292,7;1;N_IRU;16,1;100%;4712,47;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
